 
log File 
 
User :zhaomo 
2020/08/22 
14:26
 
Process Ran by zhaomo 
 

映像名称                       PID 会话名              会话#       内存使用 
  路由丢弃                   = 0
  丢弃的输出数据包           = 89858
  输出数据包无路由             = 6744
  需要重新组合                = 864
  重新组合成功              = 399
  重新组合失败                = 0
  数据报分段成功  = 67
  数据报分段失败    = 0
  分段已创建                  = 134

IPv6 统计信息

  接收的数据包                   = 13519
  接收的标头错误             = 0
  接收的地址错误            = 2918
  转发的数据报                = 0
  接收的未知协议         = 0
  丢弃的接收数据包         = 1070708
  传送的接收数据包         = 1596762
  输出请求                    = 2913926
  路由丢弃                   = 0
  丢弃的输出数据包           = 31
  输出数据包无路由             = 21
  需要重新组合                = 0
  重新组合成功              = 0
  重新组合失败                = 0
  数据报分段成功  = 0
  数据报分段失败    = 0
  分段已创建                  = 0

ICMPv4 统计信息

                            已接收    已发送
  消息                  60951       29278     
  错误                    0           0         
  目标不可达   57459       27695     
  超时             714         31        
  参数问题        0           0         
  源抑制           0           0         
  重定向                 0           0         
  回显回复              312         222       
  回显                     2466        1330      
  时间戳                0           0         
  时间戳回复         0           0         
  地址掩码             0           0         
  地址掩码回复      0           0         
  路由器请求      0           0         
  路由器播发     0           0         

ICMPv6 统计信息

                            已接收    已发送
  消息                  278         19959     
  错误                    0           0         
  目标不可达   1           55        
  数据包太大            0           0         
  超时             0           0         
  参数问题        0           0         
  回显                     1           0         
  回显回复              0           0         
  MLD 查询               0           0         
  MLD 报告               0           0         
  MLD 已完成                 0           0         
  路由器请求      0           11538     
  路由器播发     61          0         
  邻居请求    111         4236      
  邻居播发   104         4130      
  重定向                 0           0         
  路由器重新编号       0           0         

IPv4 的 TCP 统计信息

  主动开放                        = 350632
  被动开放                       = 12257
  失败的连接尝试          = 351333
  重置连接                   = 27903
  当前连接                 = 40
  接收的分段                   = 38674828
  发送的分段                       = 16914644
  重新传输的分段              = 824580

IPv6 的 TCP 统计信息

  主动开放                        = 148890
  被动开放                       = 1369
  失败的连接尝试          = 148610
  重置连接                   = 91
  当前连接                 = 0
  接收的分段                   = 1493680
  发送的分段                       = 910284
  重新传输的分段              = 582554

IPv4 的 UDP 统计信息

  接收的数据报    = 5686480
  无端口              = 1494332
  接收错误        = 20789
  发送的数据报        = 6043857

IPv6 的 UDP 统计信息

  接收的数据报    = 1380436
  无端口              = 1069695
  接收错误        = 1011
  发送的数据报        = 1976366

Windows IP 配置

   主机名  . . . . . . . . . . . . . : DEll
   主 DNS 后缀 . . . . . . . . . . . : 
   节点类型  . . . . . . . . . . . . : 混合
   IP 路由已启用 . . . . . . . . . . : 否
   WINS 代理已启用 . . . . . . . . . : 否

以太网适配器 以太网:

   媒体状态  . . . . . . . . . . . . : 媒体已断开连接
   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Realtek PCIe FE Family Controller
   物理地址. . . . . . . . . . . . . : 50-9A-4C-C3-67-3E
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是

无线局域网适配器 本地连接* 1:

   媒体状态  . . . . . . . . . . . . : 媒体已断开连接
   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Microsoft Wi-Fi Direct Virtual Adapter
   物理地址. . . . . . . . . . . . . : CC-2F-71-D5-BA-98
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是

以太网适配器 VMware Network Adapter VMnet1:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet1
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-01
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::a47a:17f:5d66:ac1f%19(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.6.1(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   获得租约的时间  . . . . . . . . . : 星期六, 2020年8月22日 12:00:08
   租约过期的时间  . . . . . . . . . : 星期六, 2020年8月22日 14:45:09
   默认网关. . . . . . . . . . . . . : 
   DHCP 服务器 . . . . . . . . . . . : 192.168.6.254
   DHCPv6 IAID . . . . . . . . . . . : 687886422
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-24-F9-AB-CD-50-9A-4C-C3-67-3E
   DNS 服务器  . . . . . . . . . . . : fec0:0:0:ffff::1%1
                                       fec0:0:0:ffff::2%1
                                       fec0:0:0:ffff::3%1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

以太网适配器 VMware Network Adapter VMnet8:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : VMware Virtual Ethernet Adapter for VMnet8
   物理地址. . . . . . . . . . . . . : 00-50-56-C0-00-08
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::80a4:271b:88c9:ed28%10(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.188.1(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 
   DHCPv6 IAID . . . . . . . . . . . : 704663638
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-24-F9-AB-CD-50-9A-4C-C3-67-3E
   DNS 服务器  . . . . . . . . . . . : fec0:0:0:ffff::1%1
                                       fec0:0:0:ffff::2%1
                                       fec0:0:0:ffff::3%1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

无线局域网适配器 WLAN:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Intel(R) Dual Band Wireless-AC 3165
   物理地址. . . . . . . . . . . . . : B6-43-D0-36-AD-7E
   DHCP 已启用 . . . . . . . . . . . : 是
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::a467:4f6b:3e4d:9bb%20(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.43.159(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   获得租约的时间  . . . . . . . . . : 星期六, 2020年8月22日 12:00:32
   租约过期的时间  . . . . . . . . . : 星期六, 2020年8月22日 15:09:29
   默认网关. . . . . . . . . . . . . : 192.168.43.1
   DHCP 服务器 . . . . . . . . . . . : 192.168.43.1
   DHCPv6 IAID . . . . . . . . . . . : 80490353
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-24-F9-AB-CD-50-9A-4C-C3-67-3E
   DNS 服务器  . . . . . . . . . . . : 192.168.43.1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用

无线局域网适配器 本地连接* 11:

   连接特定的 DNS 后缀 . . . . . . . : 
   描述. . . . . . . . . . . . . . . : Microsoft Wi-Fi Direct Virtual Adapter #2
   物理地址. . . . . . . . . . . . . : CE-2F-71-D5-BA-97
   DHCP 已启用 . . . . . . . . . . . : 否
   自动配置已启用. . . . . . . . . . : 是
   本地链接 IPv6 地址. . . . . . . . : fe80::d0ff:123f:6c8e:aae0%16(首选) 
   IPv4 地址 . . . . . . . . . . . . : 192.168.137.1(首选) 
   子网掩码  . . . . . . . . . . . . : 255.255.255.0
   默认网关. . . . . . . . . . . . . : 
   DHCPv6 IAID . . . . . . . . . . . : 500051825
   DHCPv6 客户端 DUID  . . . . . . . : 00-01-00-01-24-F9-AB-CD-50-9A-4C-C3-67-3E
   DNS 服务器  . . . . . . . . . . . : fec0:0:0:ffff::1%1
                                       fec0:0:0:ffff::2%1
                                       fec0:0:0:ffff::3%1
   TCPIP 上的 NetBIOS  . . . . . . . : 已启用
